语言学术语	yuyanxueshuyu
一元论	yiyuanlun
一致词	yizhici
一致格	yizhige
一致关系	yizhiguanxi
一致性	yizhixing
医患交互	yihuanjiaohu
依从	yicong
依存树	yicunshu
依存音系学	yicunyinxixue
依存音系学	yicunyinxixue
依存语法	yicunyufa
依附性	yifuxing
咿呀学语阶段	yiyaxueyujieduan
仪器语音学	yiqiyuyinxue
仪式语	yishiyu
移动窗口技术	yidongchuangkoujishu
移后同化	yihoutonghua
移觉	yijue
移民本族语	yiminbenzuyu
移情	yiqing
移情焦点不冲突原则	yiqingjiaodianbuchongtuyuanze
移位	yiwei
移位复制理论	yiweifuzhililun
移位转换	yiweizhuanhuan
移植词	yizhici
遗传型	yichuanxing
遗忘症	yiwangzheng
疑问陈述句	yiwenchenshuju
疑问词	yiwenci
疑问代词	yiwendaici
疑问副词	yiwenfuci
疑问句	yiwenju
疑问形容词	yiwenxingrongci
疑问转换	yiwenzhuanhuan
已知信息	yizhixinxi
已知—新信息	yizhixinxinxi
以学生为中心的教学法	yixueshengweizhongxindejiaoxuefa
以言行事	yiyanxingshi
椅子博物馆	yizibowuguan
义符	yifu
义素	yisu
义素变体	yisubianti
义素层	yisuceng
义素分析法	yisufenxifa
义位	yiwei
义位变体	yiweibianti
义位意义	yiweiyiyi
义务逻辑	yiwuluoji
义子	yizi
义子结构	yizijiegou
忆痕	yihen
议会篇章	yihuipianzhang
议论文	yilunwen
异常变化成分	yichangbianhuachengfen
异常值	yichangzhi
异发音部位音	yifayinbuweiyin
异干词	yiganci
异干词	yiganci
异干互补	yiganhubu
异化	yihua
异化	yihua
异化翻译	yihuafanyi
异相动词	yixiangdongci
异形同义表达式	yixingtongyibiaodashi
异源特点	yiyuantedian
异指	yizhi
抑扬格	yiyangge
抑扬格五音步四行诗节	yiyanggewuyinbusixingshijie
抑抑扬格	yiyiyangge
抑抑扬格的	yiyiyanggede
抑音	yiyin
译借词	yijieci
译前编辑	yiqianbianji
译者	yizhe
易度值	yiduzhi
易联想性	yilianxiangxing
易位	yiwei
意大利语言问题”大讨论	yidaliyuyanwentidataolun
意符	yifu
意符系统	yifuxitong
意符学	yifuxue
意借词	yijieci
意念	yinian
意念法	yinianfa
意念范畴	yinianfanchou
意念功能课程大纲	yiniangongnengkechengdagang
意念教学大纲	yinianjiaoxuedagang
意念语法	yinianyufa
意念语法	yinianyufa
意念语调	yinianyudiao
意念语调	yinianyudiao
意识形态翻译论	yishixingtaifanyilun
意识增进法	yishizengjinfa
意释	yishi
意图中的接受者	yituzhongdejieshouzhe
意向性	yixiangxing
意象	yixiang
意象图式	yixiangtushi
意象图式转换	yixiangtushizhuanhuan
意义	yiyi
意义单位	yiyidanwei
意义发生学	yiyifashengxue
意义法位	yiyifawei
意义公设	yiyigongshe
意义关系	yiyiguanxi
意义类型	yiyileixing
意义模糊	yiyimohu
意义牵连	yiyiqianlian
意义潜势	yiyiqianshi
意义三元论	yiyisanyuanlun
意义缩小	yiyisuoxiao
意义限制	yiyixianzhi
意义协商	yiyixieshang
意义演变	yiyiyanbian
〔德	〕	de
意译	yiyi
意元学	yiyuanxue
意愿	yiyuan
意愿语气	yiyuanyuqi
意指关系	yizhiguanxi
因变量	yinbianliang
因果法	yinguofa
因果副词	yinguofuci
因素分析	yinsufenxi
因子分解	yinzifenjie
阴性化	yinxinghua
阴韵	yinyun
音变	yinbian
音变汇合	yinbianhuihe
音标	yinbiao
音步	yinbu
音步特征原则	yinbutezhengyuanze
音长	yinzhang
音长变体	yinzhangbianti
音长特征	yinzhangtezheng
音层	yinceng
音丛缩略	yincongsuolve
音调	yindiao
音调的	yindiaode
音调重音	yindiaozhongyin
音调重音	yindiaozhongyin
音渡	yindu
音段	yinduan
音段抽取	yinduanchouqu
音段音位	yinduanyinwei
音段音系学	yinduanyinxixue
音符	yinfu
音符组	yinfuzu
音高	yingao
音高等级	yingaodengji
音高上调	yingaoshangdiao
音高下调	yingaoxiadiao
音高韵律	yingaoyunlv
音高重音	yingaozhongyin
音谷	yingu
音节	yinjie
音节重复	yinjiechongfu
音节重复	yinjiechongfu
音节重组	yinjiechongzu
音节定时节奏	yinjiedingshijiezou
音节峰	yinjiefeng
音节核	yinjiehe
音节坡	yinjiepo
音节首	yinjieshou
音节完整诗行	yinjiewanzhengshihang
音节尾	yinjiewei
音节文字	yinjiewenzi
音量	yinliang
音量	yinliang
音量符号	yinliangfuhao
音律单位	yinlvdanwei
音区	yinqu
音色	yinse
音势重音	yinshizhongyin
音素	yinsu
音素标音	yinsubiaoyin
音速	yinsu
（	）
音位	yinwei
音位编码能力	yinweibianmanengli
音位变化	yinweibianhua
音位变体	yinweibianti
音位变体音变	yinweibiantiyinbian
音位标写法	yinweibiaoxiefa
音位表达	yinweibiaoda
音位层	yinweiceng
音位层	yinweiceng
音位单位	yinweidanwei
音位等级体系	yinweidengjitixi
音位对立	yinweiduili
音位法位	yinweifawei
音位反应缓冲机制	yinweifanyinghuanchongjizhi
音位分布	yinweifenbu
音位分析	yinweifenxi
音位符	yinweifu
音位化	yinweihua
音位结构	yinweijiegou
音位结构学	yinweijiegouxue
音位库藏	yinweikucang
音位类型学	yinweileixingxue
音位内同化	yinweineitonghua
音位配列法	yinweipeiliefa
音位亲疏关系	yinweiqinshuguanxi
音位实现	yinweishixian
音位体现	yinweitixian
音位系统	yinweixitong
音位项	yinweixiang
音位性语言错乱症	yinweixingyuyancuoluanzheng
音位学	yinweixue
音位音变	yinweiyinbian
音位音变	yinweiyinbian
音位音标	yinweiyinbiao
音位原理	yinweiyuanli
音位障碍	yinweizhangai
音位制约的	yinweizhiyuede
音位重音	yinweizhongyin
音位注音法	yinweizhuyinfa
音位总藏	yinweizongcang
音位组合学	yinweizuhexue
音系表达	yinxibiaoda
音系层	yinxiceng
音系成分	yinxichengfen
音系重组	yinxichongzu
音系等级体系	yinxidengjitixi
音系分析	yinxifenxi
音系共性	yinxigongxing
音系规则	yinxiguize
音系晦暗性	yinxihuianxing
音系空间	yinxikongjian
音系衔接	yinxixianjie
音系学	yinxixue
音系子系统	yinxizixitong
音形结合编码法	yinxingjiehebianmafa
音义联觉	yinyilianjue
（）
音义内联观	yinyineilianguan
音域	yinyu
音域	yinyu
音域	yinyu
音域声调语言	yinyushengdiaoyuyan
音元	yinyuan
音韵词组	yinyuncizu
音韵分析	yinyunfenxi
音障	yinzhang
音质	yinzhi
音子	yinzi
引导副词	yindaofuci
引导副词	yindaofuci
引发程式	yinfachengshi
引发模仿	yinfamofang
引发式	yinfashi
引号	yinhao
引申义	yinshenyi
引文	yinwen
引用语	yinyongyu
引喻	yinyu
隐藏与突出	yincangyutuchu
隐含行事句	yinhanxingshiju
隐含意义	yinhanyiyi
隐形句法	yinxingjufa
隐形移位	yinxingyiwei
隐性优势	yinxingyoushi
隐性语境	yinxingyujing
隐语	yinyu
隐喻	yinyu
隐喻系统	yinyuxitong
隐喻语	yinyuyu
印度日耳曼语言学	yinduriermanyuyanxue
印度语支语言学	yinduyuzhiyuyanxue
印欧语喉塞音理论	yinouyuhouseyinlilun
印欧语系语言学	yinouyuxiyuyanxue
印刷体字母	yinshuatizimu
印象标音法	yinxiangbiaoyinfa
英国手语	yingguoshouyu
英国英语	yingguoyingyu
英美语	yingmeiyu
英美语际误解	yingmeiyujiwujie
英诗音步类型	yingshiyinbuleixing
英式英语	yingshiyingyu
英印词	yingyinci
英语非母语变体	yingyufeimuyubianti
英语化形式	yingyuhuaxingshi
英语教学语言学校	yingyujiaoxueyuyanxuexiao
英语口语水平测试包	yingyukouyushuipingceshibao
英语盲	yingyumang
英语媒介学校	yingyumeijiexuexiao
英语水平有限者	yingyushuipingyouxianzhe
英语语篇中的叙事	yingyuyupianzhongdexushi
英语语言教学	yingyuyuyanjiaoxue
英语语言认证教学机构联合会	yingyuyuyanrenzhengjiaoxuejigoulianhehui
英语语音模式	yingyuyuyinmoshi
英语语音模式	yingyuyuyinmoshi
英语作为第二方言	yingyuzuoweidierfangyan
英语作为第二语言	yingyuzuoweidieryuyan
英语作为第二语言课程	yingyuzuoweidieryuyankecheng
英语作为第二语言的教学	yingyuzuoweidieryuyandejiaoxue
英语作为国际语言	yingyuzuoweiguojiyuyan
英语作为外语	yingyuzuoweiwaiyu
英语作为外语的教学	yingyuzuoweiwaiyudejiaoxue
英语作为外语的考试	yingyuzuoweiwaiyudekaoshi
婴儿语	yingeryu
婴幼儿话语理论	yingyouerhuayulilun
鹦鹉学舌式的问句	yingwuxuesheshidewenju
影子练习法	yingzilianxifa
应用	yingyong
应用性生成模型	yingyongxingshengchengmoxing
应用性语法	yingyongxingyufa
应用语言学	yingyongyuyanxue
应用运算	yingyongyunsuan
映射	yingshe
映射	yingshe
映射原则	yingsheyuanze
映象意义	yingxiangyiyi
硬腭	yinge
硬腭音	yingeyin
硬辅音	yingfuyin
硬移位	yingyiwei
哟嘿呼说	yoheihushuo
永恒现在时	yonghengxianzaishi
永恒真理时态	yonghengzhenlishitai
涌现论	yongxianlun
用典	yongdian
用法标记	yongfabiaoji
用意	yongyi
用语失范现象	yongyushifanxianxiang
〔德	〕	de
优势话语	youshihuayu
优势语言	youshiyuyan
优位关系	youweiguanxi
优先出现权	youxianchuxianquan
优先效应	youxianxiaoying
优先选择	youxianxuanze
优选论	youxuanlun
游戏	youxi
有标记	youbiaoji
有定	youding
有界	youjie
有界名词	youjiemingci
有生名词	youshengmingci
有生性	youshengxing
有声停顿	youshengtingdun
有限相关性	youxianxiangguanxing
〔德	〕	de
有限英语水平者	youxianyingyushuipingzhe
有限语言	youxianyuyan
有限状态语法	youxianzhuangtaiyufa
有限自动机	youxianzidongji
有效性	youxiaoxing
有形连接	youxinglianjie
有序理论	youxulilun
有意识语言知识	youyishiyuyanzhishi
有意义	youyiyi
有意义形式	youyiyixingshi
右半球	youbanqiu
右耳优势	youeryoushi
右分叉	youfencha
右分枝语言	youfenzhiyuyan
右节点提升	youjiediantisheng
右偏置	youpianzhi
右弯钩	youwangou
右位错	youweicuo
右线性语法	youxianxingyufa
右向分支	youxiangfenzhi
右向移位	youxiangyiwei
右易位	youyiwei
右中心音步	youzhongxinyinbu
幼儿语	youeryu
诱导程式	youdaochengshi
诱发模仿	youfamofang
诱发式	youfashi
诱发性推理	youfaxingtuili
诱发性语误	youfaxingyuwu
诱因	youyin
迂说	yushuo
迂说法	yushuofa
娱乐功能	yulegongneng
与格	yuge
与格转换	yugezhuanhuan
与格转换	yugezhuanhuan
语步变化	yububianhua
语词变体	yucibianti
语词表达	yucibiaoda
语调	yudiao
语调单位	yudiaodanwei
语调段	yudiaoduan
语调共振峰	yudiaogongzhenfeng
语调列	yudiaolie
语调模式	yudiaomoshi
语调模式	yudiaomoshi
语调曲线	yudiaoquxian
语调升降曲线	yudiaoshengjiangquxian
语调形位	yudiaoxingwei
语调音节	yudiaoyinjie
语调音节起点	yudiaoyinjieqidian
语调语言	yudiaoyuyan
语段	yuduan
语段	yuduan
语段无渗透条件	yuduanwushentoutiaojian
语段制约	yuduanzhiyue
语法	yufa
语法悖理	yufabeili
语法变化	yufabianhua
语法不通	yufabutong
语法词	yufaci
语法—词汇连续体	yufacihuilianxuti
语法丛	yufacong
语法错乱	yufacuoluan
语法单位	yufadanwei
语法等级体系	yufadengjitixi
语法对等词	yufaduidengci
语法翻译法	yufafanyifa
语法范畴	yufafanchou
语法分析	yufafenxi
语法干扰期	yufaganraoqi
语法格律学	yufagelvxue
语法功能	yufagongneng
语法构成成分	yufagouchengchengfen
语法关系	yufaguanxi
语法规则	yufaguize
语法化	yufahua
语法检查程序	yufajianchachengxu
语法交替	yufajiaoti
语法码	yufama
语法敏感度	yufamingandu
语法能力	yufanengli
语法判断	yufapanduan
语法偏离症	yufapianlizheng
语法歧义	yufaqiyi
语法缺失症	yufaqueshizheng
语法特征	yufatezheng
语法体	yufati
语法项	yufaxiang
语法性别	yufaxingbie
语法性等级	yufaxingdengji
语法学家	yufaxuejia
语法意义	yufayiyi
语法隐喻	yufayinyu
语法语素	yufayusu
语法主语	yufazhuyu
语符	yufu
语符学	yufuxue
语符学派	yufuxuepai
语感	yugan
ü
语汇索引	yuhuisuoyin
语际表征	yujibiaozheng
语际错误	yujicuowu
语际翻译	yujifanyi
语际识别	yujishibie
语际语言学	yujiyuyanxue
语迹	yuji
语迹理论	yujililun
语境	yujing
语境	yujing
语境得体法	yujingdetifa
语境分析	yujingfenxi
语境化	yujinghua
语境化提示	yujinghuatishi
语境基本要素	yujingjibenyaosu
语境论	yujinglun
语境敏感规则	yujingminganguize
语境敏感语法	yujingminganyufa
语境敏感语言	yujingminganyuyan
语境内语用	yujingneiyuyong
语境配置	yujingpeizhi
语境冗余规则	yujingrongyuguize
语境特征	yujingtezheng
语境效应	yujingxiaoying
语境因素	yujingyinsu
语境制约短语结构规则	yujingzhiyueduanyujiegouguize
语境自由	yujingziyou
语境自由短语结构规则	yujingziyouduanyujiegouguize
语境自由规则	yujingziyouguize
语境自由语法	yujingziyouyufa
语境自由语言	yujingziyouyuyan
语句间隔反复	yujujiangefanfu
语库	yuku
语类特指规则	yuleitezhiguize
语类中性规则	yuleizhongxingguize
语链	yulian
语链统一原则	yuliantongyiyuanze
语链线性化	yulianxianxinghua
语料库语言学	yuliaokuyuyanxue
语流	yuliu
语码	yuma
语码选择	yumaxuanze
语码转换	yumazhuanhuan
语内错误	yuneicuowu
语内翻译	yuneifanyi
语内语境	yuneiyujing
语篇	yupian
语篇	yupian
语篇层	yupianceng
语篇处理	yupianchuli
语篇分析	yupianfenxi
语篇结构	yupianjiegou
语篇历时分析模式	yupianlishifenximoshi
语篇能力	yupiannengli
语篇修正	yupianxiuzheng
语篇研究	yupianyanjiu
语篇语法	yupianyufa
语篇语言学	yupianyuyanxue
语篇语旨	yupianyuzhi
语篇照应	yupianzhaoying
语气	yuqi
语气减弱语	yuqijianruoyu
语素	yusu
语素	yusu
语素	yusu
语素变体	yusubianti
语素词	yusuci
语素结构规则	yusujiegouguize
语素配列学	yusupeiliexue
语素学	yusuxue
语素音系学	yusuyinxixue
语速	yusu
语态	yutai
语体	yuti
语体变异	yutibianyi
语体倒装	yutidaozhuang
语图	yutu
语外语境	yuwaiyujing
语文学	yuwenxue
语文学方法	yuwenxuefangfa
语误分析	yuwufenxi
语系	yuxi
语项	yuxiang
语序	yuxu
语言	yuyan
语言	yuyan
语言保持	yuyanbaochi
语言变化	yuyanbianhua
语言变体	yuyanbianti
语言变体库	yuyanbiantiku
语言变异	yuyanbianyi
语言标准化	yuyanbiaozhunhua
语言不安全感	yuyanbuanquangan
语言测试	yuyanceshi
语言差异假说	yuyanchayijiashuo
语言产出	yuyanchanchu
语言成就	yuyanchengjiu
语言处理	yuyanchuli
语言处置	yuyanchuzhi
语言串理论	yuyanchuanlilun
语言错乱	yuyancuoluan
语言代码	yuyandaima
语言单位	yuyandanwei
语言的表达能力	yuyandebiaodanengli
语言的发展性功能	yuyandefazhanxinggongneng
语言的工具模型	yuyandegongjumoxing
语言的甄别性特征	yuyandezhenbiexingtezheng
语言地理学	yuyandilixue
语言帝国主义	yuyandiguozhuyi
语言对	yuyandui
语言发生学	yuyanfashengxue
语言飞地	yuyanfeidi
语言分工	yuyanfengong
语言分化	yuyanfenhua
语言分析	yuyanfenxi
语言风格	yuyanfengge
语言风格学	yuyanfenggexue
语言符号	yuyanfuhao
语言复兴	yuyanfuxing
语言复兴方案	yuyanfuxingfangan
语言个体发生	yuyangetifasheng
语言个体发生再现语言群体发生	yuyangetifashengzaixianyuyanquntifasheng
语言公理学	yuyangonglixue
语言孤岛	yuyangudao
语言古生物学	yuyangushengwuxue
语言观哲学	yuyanguanzhexue
语言官能	yuyanguanneng
语言归纳能力	yuyanguinanengli
语言规范	yuyanguifan
语言规划	yuyanguihua
语言合成	yuyanhecheng
语言呼唤功能	yuyanhuhuangongneng
语言互动处理功能	yuyanhudongchuligongneng
语言环境制约	yuyanhuanjingzhiyue
语言混合	yuyanhunhe
语言基因	yuyanjiyin
语言技能	yuyanjineng
语言加工的脑成像	yuyanjiagongdenaochengxiang
语言家园	yuyanjiayuan
语言间接性	yuyanjianjiexing
语言僵化形式	yuyanjianghuaxingshi
语言教学	yuyanjiaoxue
语言教学法	yuyanjiaoxuefa
语言教学法	yuyanjiaoxuefa
语言教学阶段	yuyanjiaoxuejieduan
语言接触	yuyanjiechu
语言结构	yuyanjiegou
语言界线	yuyanjiexian
语言经济学	yuyanjingjixue
语言经验教学法	yuyanjingyanjiaoxuefa
语言决定论	yuyanjuedinglun
语言控制	yuyankongzhi
语言口头形式	yuyankoutouxingshi
语言类型学	yuyanleixingxue
语言类型学	yuyanleixingxue
语言理解	yuyanlijie
语言历史	yuyanlishi
语言隶属关系	yuyanlishuguanxi
语言联盟	yuyanlianmeng
语言劣势	yuyanlieshi
语言逻辑	yuyanluoji
语言磨蚀	yuyanmoshi
语言磨蚀者	yuyanmoshizhe
语言内部特征	yuyanneibutezheng
语言能力	yuyannengli
语言能力量表	yuyannengliliangbiao
语言年代学	yuyanniandaixue
语言评估	yuyanpinggu
语言普遍性	yuyanpubianxing
语言起源	yuyanqiyuan
语言迁移	yuyanqianyi
语言强化课程	yuyanqianghuakecheng
语言强记能力	yuyanqiangjinengli
语言区域	yuyanquyu
语言趋同	yuyanqutong
语言趋异	yuyanquyi
语言缺陷假说	yuyanquexianjiashuo
语言人类学	yuyanrenleixue
语言丧失	yuyansangshi
语言熵	yuyanshang
语言少数群体	yuyanshaoshuqunti
语言社会心理学	yuyanshehuixinlixue
语言社会学	yuyanshehuixue
语言社区	yuyanshequ
语言神经理论	yuyanshenjinglilun
语言生态学	yuyanshengtaixue
语言失调	yuyanshitiao
语言失用症	yuyanshiyongzheng
语言实验室	yuyanshiyanshi
语言史前史	yuyanshiqianshi
语言输入	yuyanshuru
语言输入不足性	yuyanshurubuzuxing
语言水平	yuyanshuiping
语言死亡	yuyansiwang
语言损耗	yuyansunhao
语言态度	yuyantaidu
语言天赋论	yuyantianfulun
语言天赋论	yuyantianfulun
语言填项	yuyantianxiang
语言调查	yuyandiaocha
语言维护	yuyanweihu
语言文化移入	yuyanwenhuayiru
语言习得	yuyanxide
语言习得机制	yuyanxidejizhi
语言系统	yuyanxitong
语言系统研究	yuyanxitongyanjiu
语言相对性	yuyanxiangduixing
语言心理学	yuyanxinlixue
语言信息处理	yuyanxinxichuli
语言行为失误	yuyanxingweishiwu
语言学	yuyanxue
语言学定律	yuyanxuedinglv
语言学公理	yuyanxuegongli
语言学教学法	yuyanxuejiaoxuefa
语言学能	yuyanxueneng
语言学能测试	yuyanxuenengceshi
语言学习	yuyanxuexi
语言学哲学	yuyanxuezhexue
语言演变内因	yuyanyanbianneiyin
语言演化途径	yuyanyanhuatujing
语言意识	yuyanyishi
语言意识形态	yuyanyishixingtai
语言影响	yuyanyingxiang
语言应用领域	yuyanyingyonglingyu
语言优势	yuyanyoushi
语言游戏	yuyanyouxi
语言语义学	yuyanyuyixue
语言语用失误	yuyanyuyongshiwu
语言运用	yuyanyunyong
语言运用分析	yuyanyunyongfenxi
语言运用语法	yuyanyunyongyufa
语言障碍	yuyanzhangai
语言哲学	yuyanzhexue
语言政策	yuyanzhengce
语言政治学	yuyanzhengzhixue
语言支架	yuyanzhijia
语言知识库	yuyanzhishiku
语言指示场	yuyanzhishichang
语言指纹	yuyanzhiwen
语言中立性	yuyanzhonglixing
语言忠诚	yuyanzhongcheng
语言转换	yuyanzhuanhuan
语言转向	yuyanzhuanxiang
语言转用	yuyanzhuanyong
语言自我	yuyanziwo
语言组合体	yuyanzuheti
语言最低量	yuyanzuidiliang
语义悖论	yuyibeilun
语义变化	yuyibianhua
语义标记	yuyibiaoji
语义标记	yuyibiaoji
语义表征	yuyibiaozheng
语义部分	yuyibufen
语义层	yuyiceng
语义场	yuyichang
语义场理论	yuyichanglilun
语义成分	yuyichengfen
语义词	yuyici
语义单位	yuyidanwei
语义淡化	yuyidanhua
语义短路	yuyiduanlu
语义对立体	yuyiduiliti
语义对子	yuyiduizi
语义泛化	yuyifanhua
语义分裂	yuyifenlie
语义分析	yuyifenxi
语义关系	yuyiguanxi
语义核心	yuyihexin
语义记忆	yuyijiyi
语义角色	yuyijuese
语义结构	yuyijiegou
语义结构理论	yuyijiegoulilun
语义结构学	yuyijiegouxue
语义空间	yuyikongjian
语义扩展	yuyikuozhan
语义扩展	yuyikuozhan
语义理据	yuyiliju
语义描写	yuyimiaoxie
语义内包	yuyineibao
语义前提	yuyiqianti
语义区分法	yuyiqufenfa
语义三角	yuyisanjiao
语义双边论	yuyishuangbianlun
语义特征	yuyitezheng
语义同义场	yuyitongyichang
语义图	yuyitu
语义图连续假说理论	yuyitulianxujiashuolilun
语义图示	yuyitushi
语义网络理论	yuyiwangluolilun
语义位移	yuyiweiyi
语义限定	yuyixianding
语义学	yuyixue
语义演变	yuyiyanbian
语义异常	yuyiyichang
语义因子	yuyiyinzi
语义音位聚合体	yuyiyinweijuheti
语义语法	yuyiyufa
语义原素词	yuyiyuansuci
语义韵	yuyiyun
语义窄化	yuyizhaihua
语义甄别法	yuyizhenbiefa
语义值	yuyizhi
语义转贬	yuyizhuanbian
语义子	yuyizi
语义组分	yuyizufen
语音变化	yuyinbianhua
语音变体	yuyinbianti
语音标记	yuyinbiaoji
语音表征	yuyinbiaozheng
语音层	yuyinceng
语音词	yuyinci
语音定律	yuyindinglv
语音定式	yuyindingshi
语音发展非连续性假说	yuyinfazhanfeilianxuxingjiashuo
语音发展连续性假说	yuyinfazhanlianxuxingjiashuo
语音符号	yuyinfuhao
语音感知	yuyinganzhi
语音关系	yuyinguanxi
语音规律	yuyinguilv
语音行为	yuyinxingwei
语音合成器	yuyinhechengqi
语音环境	yuyinhuanjing
语音环路	yuyinhuanlu
语音教学	yuyinjiaoxue
语音结合	yuyinjiehe
语音类别	yuyinleibie
语音类型	yuyinleixing
语音理据	yuyinliju
语音量子理论	yuyinliangzililun
语音漏读	yuyinloudu
语音美学	yuyinmeixue
（）
语音拼写	yuyinpinxie
语音拼写系统	yuyinpinxiexitong
语音实体	yuyinshiti
语音式	yuyinshi
语音替代	yuyintidai
语音同化失音	yuyintonghuashiyin
语音文字	yuyinwenzi
语音稳固形式	yuyinwenguxingshi
语音系统	yuyinxitong
语音象征	yuyinxiangzheng
语音信息处理	yuyinxinxichuli
语音形式成分	yuyinxingshichengfen
语音修辞学	yuyinxiucixue
语音修饰特征	yuyinxiushitezheng
语音学	yuyinxue
语音演变	yuyinyanbian
语音一致形式	yuyinyizhixingshi
语音移情	yuyinyiqing
语音移位	yuyinyiwei
语音意识	yuyinyishi
语音障碍	yuyinzhangai
语音注释	yuyinzhushi
语音转变	yuyinzhuanbian
语音转写	yuyinzhuanxie
语音桌	yuyinzhuo
语音字母表	yuyinzimubiao
语用变体	yuyongbianti
语用功能习语	yuyonggongnengxiyu
语用行为	yuyongxingwei
语用力	yuyongli
语用能力	yuyongnengli
语用强化	yuyongqianghua
语用失误	yuyongshiwu
语用学	yuyongxue
语用移情	yuyongyiqing
语用映射	yuyongyingshe
语用语言学	yuyongyuyanxue
语用预设	yuyongyushe
语域	yuyu
语域变异	yuyubianyi
语域分析	yuyufenxi
语源语言学	yuyuanyuyanxue
语障	yuzhang
语支	yuzhi
语轴	yuzhou
预测效度	yucexiaodu
预定式教学大纲	yudingshijiaoxuedagang
预赋值	yufuzhi
预期样本	yuqiyangben
预设	yushe
预设测试	yusheceshi
预示模式	yushimoshi
预示效度	yushixiaodu
预述法	yushufa
预先测试	yuxianceshi
预先教学	yuxianjiaoxue
预先音变	yuxianyinbian
预先音变错误	yuxianyinbiancuowu
预指	yuzhi
预制表达	yuzhibiaoda
预制语	yuzhiyu
预制语块	yuzhiyukuai
域	yu
域扩展	yukuozhan
域内论元	yuneilunyuan
域外论元	yuwailunyuan
喻化	yuhua
喻体	yuti
元规则	yuanguize
元交际	yuanjiaoji
元认知策略	yuanrenzhicelve
元音	yuanyin
元音变换	yuanyinbianhuan
元音变音符	yuanyinbianyinfu
元音丛	yuanyincong
元音大转移	yuanyindazhuanyi
元音割裂	yuanyingelie
元音化	yuanyinhua
元音间辅音浊化	yuanyinjianfuyinzhuohua
元音降变	yuanyinjiangbian
〔德	〕	de
元音交替	yuanyinjiaoti
元音裂变	yuanyinliebian
元音长度	yuanyinchangdu
元音组合	yuanyinzuhe
元语法	yuanyufa
元语篇	yuanyupian
元语言	yuanyuyan
元语言功能	yuanyuyangongneng
元语言学	yuanyuyanxue
元语言知识	yuanyuyanzhishi
元语用学	yuanyuyongxue
原级	yuanji
原假设	yuanjiashe
原始……	yuanshi
原始材料	yuanshicailiao
原始材料研究	yuanshicailiaoyanjiu
原始词	yuanshici
原始分数	yuanshifenshu
原始派生词	yuanshipaishengci
原始性内驱力	yuanshixingneiquli
原始意义成分	yuanshiyiyichengfen
原始印欧语	yuanshiyinouyu
原始语	yuanshiyu
原始值	yuanshizhi
原文语言	yuanwenyuyan
原形复合词	yuanxingfuheci
原型	yuanxing
原型范畴理论	yuanxingfanchoulilun
原型理论	yuanxinglilun
原型语义学	yuanxingyuyixue
原因从句	yuanyincongju
原因链事件框架	yuanyinlianshijiankuangjia
原因推理	yuanyintuili
原语	yuanyu
原则	yuanze
原则与参数	yuanzeyucanshu
原则制约性	yuanzezhiyuexing
圆唇	yuanchun
圆唇化	yuanchunhua
圆唇软腭音	yuanchunruaneyin
圆唇元音	yuanchunyuanyin
圆括号	yuankuohao
源点格	yuandiange
源语	yuanyu
源域	yuanyu
远程学习法	yuanchengxuexifa
远缘谱系关系	yuanyuanpuxiguanxi
远指	yuanzhi
约定俗成	yuedingsucheng
约束变量	yueshubianliang
约束理论	yueshulilun
乐音重音	yueyinzhongyin
阅读	yuedu
阅读词汇	yueducihui
阅读法	yuedufa
阅读理解	yuedulijie
阅读理解测试	yuedulijieceshi
阅读年龄	yuedunianling
阅读视幅	yuedushifu
阅读速度	yuedusudu
阅读准备状态	yueduzhunbeizhuangtai
允准条件	yunzhuntiaojian
运动性失语症	yundongxingshiyuzheng
运用标准	yunyongbiaozhun
运用测试	yunyongceshi
运用障碍	yunyongzhangai
韵律	yunlv
韵律短语	yunlvduanyu
韵律特征	yunlvtezheng
韵律学	yunlvxue
韵律音位	yunlvyinwei
韵律音系学	yunlvyinxixue
韵母	yunmu
（			）
韵位	yunwei
蕴含	yunhan
蕴含规律	yunhanguilv
蕴含普遍性	yunhanpubianxing
蕴涵	yunhan
蕴涵关系	yunhanguanxi
蕴涵性动词	yunhanxingdongci
杂合语时期	zaheyushiqi
杂乱性失语症	zaluanxingshiyuzheng
载体	zaiti
再产出语言	zaichanchuyuyan
再调整规则	zaitiaozhengguize
再习得	zaixide
再循环	zaixunhuan
再音系化	zaiyinxihua
在内格	zaineige
在线任务	zaixianrenwu
赞同	zantong
赞同准则	zantongzhunze
赞扬准则	zanyangzhunze
增大词缀	zengdacizhui
增加性修饰语	zengjiaxingxiushiyu
增强	zengqiang
增强词	zengqiangci
增强性构词	zengqiangxinggouci
增义词	zengyici
增义附加词缀	zengyifujiacizhui
增益分数	zengyifenshu
增意转用网络语法	zengyizhuanyongwangluoyufa
增音	zengyin
扎根理论	zhagenlilun
窄化意	zhaihuayi
窄化意义	zhaihuayiyi
窄焦点	zhaijiaodian
窄口音	zhaikouyin
窄双元音	zhaishuangyuanyin
窄域	zhaiyu
窄元音	zhaiyuanyin
窄元音	zhaiyuanyin
展唇化	zhanchunhua
展示性问题	zhanshixingwenti
展元音	zhanyuanyin
展元音	zhanyuanyin
占位成分	zhanweichengfen
张力	zhangli
张音	zhangyin
障碍理论	zhangaililun
〔德	〕	de
照应孤岛	zhaoyinggudao
照应控制	zhaoyingkongzhi
